Date,Open,High,Low,Close
12/31/2010,11569.33 ,11597.41 ,11530.32 ,11577.51 
12/30/2010,11585.30 ,11594.38 ,11551.93 ,11569.71 
12/29/2010,11572.74 ,11625.00 ,11572.66 ,11585.38 
12/28/2010,11554.80 ,11591.13 ,11541.14 ,11575.54 
12/27/2010,11572.81 ,11573.19 ,11518.44 ,11555.03 
12/23/2010,11559.11 ,11580.84 ,11542.62 ,11573.49 
12/22/2010,11532.17 ,11566.99 ,11528.08 ,11559.49 
12/21/2010,11478.36 ,11549.12 ,11478.29 ,11533.16 
12/20/2010,11491.30 ,11517.07 ,11442.68 ,11478.13 
12/17/2010,11499.02 ,11503.18 ,11451.00 ,11491.91 
12/16/2010,11458.00 ,11514.84 ,11421.30 ,11499.25 
12/15/2010,11475.64 ,11519.04 ,11445.67 ,11457.47 
12/14/2010,11429.24 ,11514.08 ,11428.94 ,11476.54 
12/13/2010,11406.16 ,11480.03 ,11405.33 ,11428.56 
12/10/2010,11370.44 ,11413.69 ,11357.72 ,11410.32 
12/09/2010,11370.36 ,11413.35 ,11331.50 ,11370.06 
12/08/2010,11354.30 ,11389.09 ,11327.49 ,11372.48 
12/07/2010,11363.85 ,11450.89 ,11354.09 ,11359.16 
12/06/2010,11381.33 ,11392.08 ,11350.27 ,11362.19 
12/03/2010,11361.88 ,11388.87 ,11318.82 ,11382.09 
12/02/2010,11255.93 ,11373.80 ,11255.85 ,11362.41 
12/01/2010,11007.23 ,11276.10 ,11007.23 ,11255.78 
11/30/2010,11049.72 ,11062.63 ,10942.98 ,11006.02 
11/29/2010,11083.75 ,11083.82 ,10929.28 ,11052.49 
11/26/2010,11183.50 ,11183.50 ,11067.17 ,11092.00 
11/24/2010,11037.35 ,11195.99 ,11037.35 ,11187.28 
11/23/2010,11177.60 ,11180.17 ,10992.17 ,11036.37 
11/22/2010,11201.66 ,11206.05 ,11054.53 ,11178.58 
11/19/2010,11180.77 ,11206.17 ,11119.24 ,11203.55 
11/18/2010,11010.49 ,11199.69 ,11010.34 ,11181.23 
11/17/2010,11017.83 ,11042.16 ,10990.81 ,11007.88 
11/16/2010,11194.70 ,11194.70 ,10978.93 ,11023.50 
11/15/2010,11194.02 ,11280.90 ,11189.10 ,11201.97 
11/12/2010,11281.28 ,11283.70 ,11143.84 ,11192.58 
11/11/2010,11326.69 ,11326.77 ,11231.22 ,11283.10 
11/10/2010,11342.81 ,11366.16 ,11255.02 ,11357.04 
11/09/2010,11403.59 ,11421.14 ,11303.19 ,11346.75 
11/08/2010,11439.54 ,11439.61 ,11362.53 ,11406.84 
11/05/2010,11435.22 ,11451.53 ,11393.52 ,11444.08 
11/04/2010,11216.65 ,11440.37 ,11216.65 ,11434.84 
11/03/2010,11184.88 ,11226.64 ,11097.37 ,11215.13 
11/02/2010,11125.22 ,11219.52 ,11125.22 ,11188.72 
11/01/2010,11120.30 ,11244.27 ,11062.33 ,11124.62 
10/29/2010,11120.45 ,11131.01 ,11075.80 ,11118.49 
10/28/2010,11127.34 ,11179.34 ,11052.60 ,11113.95 
10/27/2010,11168.40 ,11168.40 ,11020.82 ,11126.28 
10/26/2010,11163.14 ,11184.82 ,11087.00 ,11169.46 
10/25/2010,11133.40 ,11247.60 ,11132.34 ,11164.05 
10/22/2010,11146.41 ,11159.05 ,11109.25 ,11132.56 
10/21/2010,11105.24 ,11213.54 ,11066.19 ,11146.57 
10/20/2010,10974.52 ,11152.88 ,10970.89 ,11107.97 
10/19/2010,11139.60 ,11139.60 ,10917.62 ,10978.62 
10/18/2010,11062.63 ,11159.05 ,11054.76 ,11143.69 
10/15/2010,11096.01 ,11141.19 ,11010.68 ,11062.78 
10/14/2010,11096.99 ,11112.20 ,11023.54 ,11094.57 
10/13/2010,11022.82 ,11155.23 ,11022.07 ,11096.08 
10/12/2010,11010.79 ,11053.21 ,10913.84 ,11020.40 
10/11/2010,11006.93 ,11030.50 ,10977.90 ,11010.34 
10/08/2010,10948.50 ,11032.17 ,10929.28 ,11006.48 
10/07/2010,10968.41 ,10998.53 ,10892.76 ,10948.58 
10/06/2010,10936.79 ,10974.16 ,10918.57 ,10967.65 
10/05/2010,10752.78 ,10965.61 ,10752.63 ,10944.72 
10/04/2010,10828.85 ,10853.71 ,10711.12 ,10751.27 
10/01/2010,10789.72 ,10866.54 ,10780.64 ,10829.68 
09/30/2010,10836.04 ,10948.88 ,10745.44 ,10788.05 
09/29/2010,10857.98 ,10869.26 ,10798.88 ,10835.28 
09/28/2010,10809.17 ,10886.21 ,10728.64 ,10858.14 
09/27/2010,10860.03 ,10873.20 ,10809.62 ,10812.04 
09/24/2010,10664.39 ,10865.78 ,10664.31 ,10860.26 
09/23/2010,10738.48 ,10761.94 ,10640.92 ,10662.42 
09/22/2010,10761.11 ,10805.38 ,10708.40 ,10739.31 
09/21/2010,10753.39 ,10833.39 ,10717.74 ,10761.03 
09/20/2010,10608.08 ,10774.13 ,10608.08 ,10753.62 
09/17/2010,10595.51 ,10650.16 ,10567.36 ,10607.85 
09/16/2010,10571.75 ,10603.69 ,10522.48 ,10594.83 
09/15/2010,10526.42 ,10587.80 ,10480.78 ,10572.73 
09/14/2010,10544.73 ,10588.32 ,10499.70 ,10526.49 
09/13/2010,10458.60 ,10567.59 ,10458.60 ,10544.13 
09/10/2010,10415.01 ,10471.28 ,10403.17 ,10462.77 
09/09/2010,10388.14 ,10476.62 ,10386.63 ,10415.24 
09/08/2010,10338.49 ,10426.70 ,10335.69 ,10387.01 
09/07/2010,10446.80 ,10446.80 ,10332.40 ,10340.69 
09/03/2010,10321.92 ,10451.15 ,10321.84 ,10447.93 
09/02/2010,10270.08 ,10320.37 ,10253.96 ,10320.10 
09/01/2010,10016.01 ,10279.08 ,10016.01 ,10269.47 
08/31/2010,10006.42 ,10073.38 ,9941.84 ,10014.72 
08/30/2010,10145.58 ,10150.57 ,10007.68 ,10009.73 
08/27/2010,9982.18 ,10159.88 ,9936.62 ,10150.65 
08/26/2010,10059.90 ,10104.71 ,9968.10 ,9985.81 
08/25/2010,10040.15 ,10097.40 ,9937.98 ,10060.06 
08/24/2010,10173.05 ,10173.05 ,9991.18 ,10040.45 
08/23/2010,10215.51 ,10304.70 ,10170.29 ,10174.41 
08/20/2010,10270.98 ,10270.98 ,10147.24 ,10213.62 
08/19/2010,10369.98 ,10412.29 ,10202.34 ,10271.21 
08/18/2010,10398.59 ,10472.30 ,10330.02 ,10415.54 
08/17/2010,10297.63 ,10480.44 ,10297.47 ,10405.85 
08/16/2010,10303.07 ,10333.12 ,10209.53 ,10302.01 
08/13/2010,10320.33 ,10354.92 ,10285.44 ,10303.15 
08/12/2010,10361.58 ,10361.65 ,10268.71 ,10319.95 
08/11/2010,10631.82 ,10631.90 ,10367.33 ,10378.83 
08/10/2010,10696.63 ,10700.71 ,10551.62 ,10644.25 
08/09/2010,10654.62 ,10719.94 ,10649.40 ,10698.75 
08/06/2010,10668.55 ,10668.70 ,10515.37 ,10653.56 
08/05/2010,10679.67 ,10679.75 ,10612.85 ,10674.98 
08/04/2010,10630.20 ,10702.99 ,10627.53 ,10680.43 
08/03/2010,10673.92 ,10676.95 ,10600.96 ,10636.38 
08/02/2010,10468.82 ,10692.20 ,10468.59 ,10674.38 
07/30/2010,10465.19 ,10507.19 ,10347.50 ,10465.94 
07/29/2010,10498.94 ,10584.99 ,10387.39 ,10467.16 
07/28/2010,10537.01 ,10548.52 ,10463.22 ,10497.88 
07/27/2010,10525.28 ,10578.33 ,10494.86 ,10537.69 
07/26/2010,10424.17 ,10526.79 ,10414.40 ,10525.43 
07/23/2010,10321.16 ,10441.95 ,10287.48 ,10424.62 
07/22/2010,10121.81 ,10363.24 ,10121.81 ,10322.30 
07/21/2010,10226.02 ,10265.54 ,10065.50 ,10120.53 
07/20/2010,10151.48 ,10236.40 ,10007.76 ,10229.96 
07/19/2010,10098.12 ,10187.28 ,10073.68 ,10154.43 
07/16/2010,10356.20 ,10356.20 ,10079.58 ,10097.90 
07/15/2010,10367.10 ,10379.74 ,10240.48 ,10359.31 
07/14/2010,10370.96 ,10400.10 ,10303.00 ,10366.72 
07/13/2010,10217.55 ,10407.82 ,10217.55 ,10363.02 
07/12/2010,10199.24 ,10220.28 ,10146.49 ,10216.27 
07/09/2010,10137.93 ,10201.77 ,10118.41 ,10198.03 
07/08/2010,10019.26 ,10139.86 ,10019.26 ,10138.99 
07/07/2010,9736.85 ,10026.60 ,9736.70 ,10018.28 
07/06/2010,9689.21 ,9858.13 ,9659.01 ,9743.62 
07/02/2010,9732.23 ,9770.87 ,9614.32 ,9686.48 
07/01/2010,9773.27 ,9795.48 ,9621.89 ,9732.53 
06/30/2010,9868.34 ,9908.92 ,9753.84 ,9774.02 
06/29/2010,10135.72 ,10135.80 ,9811.92 ,9870.30 
06/28/2010,10143.05 ,10201.93 ,10101.41 ,10138.52 
06/25/2010,10153.48 ,10202.91 ,10081.08 ,10143.81 
06/24/2010,10297.08 ,10298.06 ,10128.85 ,10152.80 
06/23/2010,10293.30 ,10368.04 ,10227.24 ,10298.44 
06/22/2010,10441.95 ,10493.57 ,10283.40 ,10293.52 
06/21/2010,10452.46 ,10594.16 ,10395.55 ,10442.41 
06/18/2010,10435.00 ,10483.44 ,10424.49 ,10450.64 
06/17/2010,10409.98 ,10441.20 ,10319.22 ,10434.17 
06/16/2010,10404.24 ,10429.03 ,10332.60 ,10409.46 
06/15/2010,10192.40 ,10408.32 ,10192.40 ,10404.77 
06/14/2010,10211.83 ,10328.67 ,10186.21 ,10190.89 
06/11/2010,10166.78 ,10215.98 ,10082.71 ,10211.07 
06/10/2010,9901.67 ,10185.83 ,9901.67 ,10172.53 
06/09/2010,9941.57 ,10065.14 ,9867.73 ,9899.25 
06/08/2010,9812.94 ,9953.66 ,9757.55 ,9939.98 
06/07/2010,9931.75 ,9982.38 ,9810.30 ,9816.49 
06/04/2010,10249.61 ,10249.69 ,9889.88 ,9931.97 
06/03/2010,10250.67 ,10315.21 ,10175.02 ,10255.28 
06/02/2010,10025.61 ,10254.22 ,10025.61 ,10249.54 
06/01/2010,10133.94 ,10218.33 ,10013.90 ,10024.02 
05/28/2010,10258.00 ,10258.00 ,10095.90 ,10136.63 
05/27/2010,9971.73 ,10264.20 ,9971.73 ,10258.99 
05/26/2010,10045.11 ,10179.03 ,9952.68 ,9974.45 
05/25/2010,10061.43 ,10061.66 ,9774.48 ,10043.75 
05/24/2010,10193.46 ,10196.41 ,10052.67 ,10066.57 
05/21/2010,10063.93 ,10198.53 ,9918.82 ,10193.39 
05/20/2010,10440.21 ,10440.21 ,10065.36 ,10068.01 
05/19/2010,10505.70 ,10522.52 ,10324.66 ,10444.37 
05/18/2010,10625.45 ,10718.86 ,10482.20 ,10510.95 
05/17/2010,10616.98 ,10660.97 ,10436.06 ,10625.83 
05/14/2010,10780.68 ,10780.75 ,10537.25 ,10620.16 
05/13/2010,10896.61 ,10920.27 ,10771.69 ,10782.95 
05/12/2010,10742.15 ,10909.08 ,10742.15 ,10896.91 
05/11/2010,10780.00 ,10874.54 ,10685.38 ,10748.26 
05/10/2010,10386.18 ,10835.17 ,10386.03 ,10785.14 
05/07/2010,10519.42 ,10579.12 ,10241.23 ,10380.43 
05/06/2010,10862.22 ,10879.76 ,9869.62 ,10520.32 
05/05/2010,10918.40 ,10946.79 ,10814.84 ,10868.12 
05/04/2010,11149.48 ,11149.48 ,10869.25 ,10926.77 
05/03/2010,11009.60 ,11177.67 ,11009.60 ,11151.83 
04/30/2010,11168.23 ,11197.93 ,10999.69 ,11008.61 
04/29/2010,11045.64 ,11197.32 ,11041.64 ,11167.32 
04/28/2010,10988.87 ,11078.52 ,10965.38 ,11045.27 
04/27/2010,11203.67 ,11218.86 ,10973.17 ,10991.99 
04/26/2010,11205.11 ,11258.01 ,11187.65 ,11205.03 
04/23/2010,11132.18 ,11205.64 ,11105.65 ,11204.28 
04/22/2010,11119.78 ,11149.86 ,11016.40 ,11134.29 
04/21/2010,11116.91 ,11153.72 ,11071.34 ,11124.92 
04/20/2010,11093.11 ,11146.08 ,11081.47 ,11117.06 
04/19/2010,11018.36 ,11095.30 ,10977.85 ,11092.05 
04/16/2010,11143.66 ,11153.79 ,10973.92 ,11018.66 
04/15/2010,11122.96 ,11154.55 ,11096.20 ,11144.57 
04/14/2010,11020.70 ,11125.22 ,11020.63 ,11123.11 
04/13/2010,11006.72 ,11038.92 ,10947.77 ,11019.42 
04/12/2010,10996.75 ,11029.77 ,10992.21 ,11005.97 
04/09/2010,10926.92 ,11000.98 ,10926.92 ,10997.35 
04/08/2010,10896.99 ,10949.36 ,10844.09 ,10927.07 
04/07/2010,10961.95 ,10962.66 ,10845.45 ,10897.52 
04/06/2010,10972.49 ,10987.38 ,10927.52 ,10969.99 
04/05/2010,10927.45 ,10988.06 ,10923.97 ,10973.55 
04/01/2010,10857.31 ,10956.39 ,10857.31 ,10927.07 
03/31/2010,10907.34 ,10907.42 ,10832.83 ,10856.63 
03/30/2010,10895.02 ,10940.22 ,10866.83 ,10907.42 
03/29/2010,10849.23 ,10916.64 ,10849.23 ,10895.86 
03/26/2010,10841.29 ,10909.38 ,10816.43 ,10850.36 
03/25/2010,10837.51 ,10955.48 ,10834.19 ,10841.21 
03/24/2010,10887.62 ,10887.84 ,10825.42 ,10836.15 
03/23/2010,10787.18 ,10893.89 ,10784.76 ,10888.83 
